Time	Ax	Ay	Az	Temperature
0.028	8.833	2.871	3.613	29.001
0.029	8.833	2.862	3.608	29.004
0.030	8.853	2.866	3.613	28.998
0.031	8.848	2.871	3.637	28.992
0.032	8.853	2.847	3.598	28.989
0.033	8.848	2.857	3.613	28.986
0.034	8.838	2.876	3.622	28.989
0.035	8.838	2.866	3.622	28.989
0.036	8.848	2.862	3.637	28.983
0.037	8.848	2.842	3.632	28.986
0.038	8.848	2.852	3.627	29.006
0.041	8.853	2.857	3.618	28.995
0.051	8.838	2.857	3.613	28.989
0.061	8.862	2.857	3.651	28.995
0.071	8.848	2.866	3.642	28.998
0.082	8.853	2.862	3.632	28.992
0.092	8.843	2.852	3.642	29.004
0.102	8.843	2.857	3.622	29.004
0.111	8.838	2.866	3.627	29.006
0.122	8.843	2.866	3.608	28.995
0.132	8.848	2.862	3.622	28.980
0.142	8.848	2.862	3.613	28.977
0.152	8.838	2.852	3.589	28.983
0.162	8.833	2.847	3.627	29.001
0.171	8.853	2.871	3.598	28.989
0.182	8.857	2.871	3.618	28.989
0.192	8.853	2.876	3.622	28.989
0.201	8.848	2.852	3.632	28.995
0.212	8.843	2.866	3.637	29.004
0.222	8.833	2.852	3.637	28.998
0.232	8.848	2.857	3.642	28.992
0.242	8.838	2.876	3.618	28.992
0.252	8.843	2.866	3.642	28.995
0.262	8.833	2.876	3.622	28.998
0.272	8.843	2.866	3.618	28.983
0.283	8.833	2.876	3.613	28.992
0.292	8.843	2.866	3.598	28.989
0.302	8.838	2.866	3.622	28.992
0.312	8.829	2.857	3.632	28.989
0.322	8.843	2.857	3.637	28.986
0.332	8.853	2.857	3.627	28.980
0.342	8.853	2.852	3.598	28.983
0.352	8.857	2.862	3.627	29.009
0.363	8.833	2.857	3.613	28.995
0.373	8.833	2.852	3.603	28.989
0.383	8.848	2.876	3.627	28.992
0.393	8.843	2.871	3.622	28.998
0.403	8.829	2.866	3.622	28.995
0.413	8.848	2.862	3.622	28.995
0.423	8.833	2.852	3.608	28.989
0.433	8.843	2.847	3.598	28.989
0.443	8.853	2.866	3.603	28.992
0.453	8.853	2.852	3.603	28.989
0.463	8.857	2.852	3.608	28.977
0.473	8.853	2.866	3.598	28.980
0.483	8.843	2.847	3.603	29.009
0.493	8.843	2.838	3.608	28.995
0.503	8.829	2.838	3.622	28.992
0.513	8.829	2.862	3.618	28.995
0.523	8.833	2.871	3.642	28.998
0.533	8.833	2.881	3.632	29.004
0.544	8.843	2.857	3.618	28.998
0.553	8.843	2.857	3.632	29.001
0.563	8.833	2.866	3.627	28.986
0.573	8.833	2.862	3.642	28.980
0.584	8.838	2.862	3.603	28.977
0.593	8.824	2.852	3.608	28.995
0.603	8.843	2.871	3.613	28.995
0.614	8.848	2.852	3.627	28.995
0.624	8.843	2.862	3.622	28.992
0.634	8.862	2.857	3.627	28.986
0.643	8.838	2.857	3.618	28.971
0.653	8.838	2.842	3.608	28.986
0.664	8.843	2.852	3.618	28.995
0.674	8.838	2.866	3.622	28.980
0.684	8.824	2.871	3.627	28.986
0.693	8.833	2.866	3.608	28.977
0.704	8.829	2.862	3.637	28.992
0.714	8.872	2.847	3.622	28.992
0.724	8.853	2.881	3.618	28.986
0.734	8.843	2.862	3.613	28.995
0.743	8.838	2.857	3.618	29.004
0.754	8.838	2.833	3.589	28.995
0.764	8.838	2.847	3.603	29.001
0.774	8.848	2.857	3.608	28.992
0.785	8.838	2.857	3.608	28.986
0.794	8.843	2.871	3.618	28.998
0.804	8.843	2.842	3.642	29.001
0.814	8.843	2.847	3.613	29.001
0.824	8.857	2.852	3.627	28.995
0.834	8.833	2.876	3.608	28.998
0.845	8.843	2.857	3.637	28.983
0.854	8.843	2.862	3.627	28.992
0.864	8.838	2.871	3.642	29.001
0.875	8.848	2.857	3.618	28.989
0.884	8.853	2.871	3.622	28.989
0.895	8.833	2.862	3.632	28.992
