Time	Dx	Dy	Dz	Temperature
0.028	38.287	-62.479	-1.390	29.001
0.029	38.287	-62.479	-1.390	29.004
0.030	38.287	-62.485	-1.390	28.998
0.031	38.287	-62.485	-1.390	28.992
0.032	38.287	-62.485	-1.390	28.989
0.033	38.293	-62.485	-1.390	28.986
0.034	38.293	-62.485	-1.390	28.989
0.035	38.293	-62.485	-1.390	28.989
0.036	38.287	-62.485	-1.390	28.983
0.037	38.287	-62.485	-1.390	28.986
0.038	38.282	-62.485	-1.390	29.006
0.042	38.282	-62.485	-1.390	28.995
0.052	38.282	-62.485	-1.390	28.989
0.062	38.282	-62.485	-1.390	28.995
0.072	38.276	-62.485	-1.390	28.998
0.083	38.276	-62.485	-1.390	28.992
0.092	38.271	-62.485	-1.390	29.004
0.103	38.271	-62.485	-1.390	29.004
0.112	38.271	-62.485	-1.390	29.006
0.123	38.276	-62.485	-1.390	28.995
0.133	38.271	-62.485	-1.390	28.980
0.143	38.276	-62.485	-1.390	28.977
0.153	38.276	-62.485	-1.390	28.983
0.162	38.276	-62.485	-1.390	29.001
0.172	38.276	-62.490	-1.390	28.989
0.183	38.282	-62.490	-1.390	28.989
0.192	38.282	-62.490	-1.390	28.989
0.202	38.282	-62.490	-1.390	28.995
0.213	38.282	-62.485	-1.390	29.004
0.223	38.276	-62.485	-1.390	28.998
0.233	38.276	-62.485	-1.390	28.992
0.243	38.276	-62.485	-1.390	28.992
0.253	38.276	-62.485	-1.390	28.995
0.262	38.276	-62.485	-1.390	28.998
0.273	38.282	-62.485	-1.390	28.983
0.284	38.282	-62.485	-1.390	28.992
0.293	38.282	-62.485	-1.390	28.989
0.303	38.282	-62.485	-1.390	28.992
0.313	38.282	-62.479	-1.390	28.989
0.323	38.282	-62.479	-1.390	28.986
0.333	38.282	-62.479	-1.390	28.980
0.343	38.282	-62.479	-1.390	28.983
0.353	38.287	-62.479	-1.390	29.009
0.363	38.287	-62.485	-1.390	28.995
0.374	38.287	-62.485	-1.390	28.989
0.384	38.287	-62.485	-1.390	28.992
0.393	38.287	-62.485	-1.390	28.998
0.403	38.287	-62.485	-1.390	28.995
0.413	38.287	-62.485	-1.390	28.995
0.423	38.287	-62.485	-1.390	28.989
0.433	38.287	-62.485	-1.390	28.989
0.443	38.293	-62.485	-1.390	28.992
0.454	38.293	-62.485	-1.390	28.989
0.463	38.293	-62.490	-1.390	28.977
0.473	38.293	-62.490	-1.390	28.980
0.483	38.298	-62.490	-1.390	29.009
0.494	38.298	-62.490	-1.390	28.995
0.503	38.293	-62.490	-1.390	28.992
0.513	38.293	-62.490	-1.390	28.995
0.524	38.298	-62.490	-1.390	28.998
0.533	38.298	-62.490	-1.390	29.004
0.544	38.293	-62.490	-1.390	28.998
0.554	38.293	-62.490	-1.390	29.001
0.564	38.293	-62.490	-1.390	28.986
0.574	38.293	-62.490	-1.390	28.980
0.584	38.293	-62.490	-1.390	28.977
0.594	38.293	-62.490	-1.390	28.995
0.604	38.293	-62.490	-1.390	28.995
0.614	38.287	-62.490	-1.390	28.995
0.624	38.293	-62.490	-1.390	28.992
0.634	38.293	-62.490	-1.390	28.986
0.644	38.293	-62.490	-1.390	28.971
0.653	38.293	-62.490	-1.390	28.986
0.664	38.293	-62.490	-1.390	28.995
0.674	38.293	-62.490	-1.390	28.980
0.684	38.293	-62.485	-1.390	28.986
0.694	38.293	-62.485	-1.390	28.977
0.705	38.293	-62.485	-1.390	28.992
0.714	38.287	-62.490	-1.390	28.992
0.724	38.293	-62.490	-1.390	28.986
0.735	38.293	-62.490	-1.390	28.995
0.744	38.293	-62.490	-1.390	29.004
0.755	38.293	-62.490	-1.390	28.995
0.765	38.293	-62.490	-1.390	29.001
0.775	38.293	-62.490	-1.390	28.992
0.785	38.293	-62.490	-1.390	28.986
0.795	38.298	-62.490	-1.390	28.998
0.805	38.293	-62.496	-1.390	29.001
0.815	38.293	-62.496	-1.390	29.001
0.824	38.287	-62.496	-1.390	28.995
0.835	38.293	-62.496	-1.390	28.998
0.845	38.293	-62.496	-1.390	28.983
0.855	38.293	-62.490	-1.390	28.992
0.865	38.293	-62.490	-1.390	29.001
0.875	38.287	-62.490	-1.390	28.989
0.884	38.287	-62.496	-1.390	28.989
0.895	38.287	-62.490	-1.390	28.992
0.905	38.293	-62.490	-1.390	28.986
0.915	38.287	-62.490	-1.390	28.989
0.925	38.293	-62.490	-1.390	28.989
0.935	38.293	-62.490	-1.390	28.986
0.946	38.293	-62.490	-1.390	28.983
0.956	38.293	-62.490	-1.390	28.989
0.966	38.298	-62.485	-1.390	28.980
0.976	38.298	-62.485	-1.390	28.980
0.985	38.298	-62.490	-1.390	28.992
0.995	38.298	-62.485	-1.390	28.986
1.005	38.298	-62.490	-1.390	28.977
1.016	38.304	-62.490	-1.390	28.980
1.026	38.304	-62.490	-1.390	28.980
1.036	38.304	-62.490	-1.390	28.983
1.046	38.309	-62.490	-1.390	28.977
1.056	38.309	-62.490	-1.390	28.998
1.066	38.309	-62.490	-1.390	28.986
1.076	38.309	-62.490	-1.390	28.989
1.085	38.309	-62.490	-1.390	28.989
1.095	38.309	-62.490	-1.390	28.974
1.106	38.309	-62.490	-1.390	28.998
