Time	Wx	Wy	Wz	Temperature
0.028	-0.061	0.000	-0.061	29.001
0.029	0.000	-0.061	0.000	29.004
0.030	0.000	-0.061	0.061	28.998
0.031	0.000	-0.061	0.061	28.992
0.032	0.000	-0.061	0.061	28.989
0.033	-0.061	-0.061	-0.061	28.986
0.034	-0.061	-0.061	0.000	28.989
0.035	0.000	0.000	0.061	28.989
0.036	0.000	-0.061	0.122	28.983
0.037	0.000	0.000	0.122	28.986
0.038	-0.061	0.000	0.000	29.006
0.042	-0.061	0.000	-0.061	28.995
0.052	-0.061	0.000	0.061	28.989
0.061	0.000	0.000	0.061	28.995
0.071	0.000	0.000	0.122	28.998
0.082	0.000	0.000	0.061	28.992
0.092	-0.061	0.000	0.000	29.004
0.102	-0.061	0.000	0.000	29.004
0.112	0.000	0.000	0.000	29.006
0.123	0.000	0.000	0.061	28.995
0.132	0.000	0.061	0.122	28.980
0.142	-0.061	-0.061	-0.061	28.977
0.152	-0.061	-0.061	-0.061	28.983
0.162	-0.061	-0.061	0.000	29.001
0.172	0.000	-0.061	0.061	28.989
0.182	0.061	-0.061	0.061	28.989
0.192	0.000	-0.061	-0.061	28.989
0.202	-0.061	0.000	0.000	28.995
0.212	-0.061	0.000	0.000	29.004
0.222	0.000	0.000	0.000	28.998
0.232	0.000	0.061	0.122	28.992
0.243	0.000	-0.061	0.000	28.992
0.253	0.000	-0.061	-0.061	28.995
0.262	-0.061	-0.061	0.061	28.998
0.273	0.000	0.000	0.061	28.983
0.283	0.000	0.000	0.000	28.992
0.292	0.000	0.000	0.000	28.989
0.302	-0.061	0.000	0.061	28.992
0.312	0.000	0.000	-0.061	28.989
0.322	0.000	0.000	0.000	28.986
0.332	0.000	0.000	0.000	28.980
0.343	0.000	0.000	-0.061	28.983
0.352	0.000	-0.061	-0.122	29.009
0.363	0.000	-0.061	0.000	28.995
0.373	-0.061	0.000	0.061	28.989
0.383	0.000	0.000	0.061	28.992
0.393	0.000	0.000	0.061	28.998
0.403	-0.061	-0.061	0.000	28.995
0.413	0.000	0.000	0.000	28.995
0.423	-0.061	0.000	-0.061	28.989
0.433	0.000	-0.061	0.000	28.989
0.443	0.000	-0.061	0.000	28.992
0.454	0.000	-0.061	-0.061	28.989
0.463	-0.061	-0.061	0.000	28.977
0.473	0.000	0.000	0.122	28.980
0.483	0.061	0.000	-0.061	29.009
0.493	0.061	0.000	0.000	28.995
0.503	0.000	-0.061	0.061	28.992
0.513	0.000	0.000	-0.061	28.995
0.523	0.000	-0.061	0.000	28.998
0.533	-0.061	-0.061	0.061	29.004
0.544	-0.061	0.000	0.061	28.998
0.554	0.000	0.000	0.061	29.001
0.563	0.000	-0.061	-0.061	28.986
0.573	0.000	-0.061	0.000	28.980
0.584	0.000	0.000	0.061	28.977
0.594	0.000	0.061	0.122	28.995
0.604	-0.061	0.000	0.183	28.995
0.614	-0.061	0.000	0.000	28.995
0.624	0.000	0.000	-0.122	28.992
0.634	0.000	-0.061	0.000	28.986
0.644	0.061	-0.061	0.061	28.971
0.653	0.061	0.000	0.000	28.986
0.664	0.000	0.000	0.000	28.995
0.674	-0.061	0.000	-0.061	28.980
