Time	Ax	Ay	Az	Temperature
0.011	-6.029	7.441	-2.211	30.015
0.011	-6.015	7.427	-2.211	30.001
0.012	-5.991	7.436	-2.201	30.009
0.012	-6.010	7.436	-2.196	30.009
0.013	-6.020	7.450	-2.182	30.009
0.014	-6.025	7.460	-2.216	30.001
0.014	-6.039	7.441	-2.196	29.989
0.015	-6.020	7.431	-2.201	29.992
0.018	-6.020	7.436	-2.182	29.995
0.028	-6.020	7.450	-2.168	29.995
0.038	-6.020	7.455	-2.187	29.998
0.048	-6.034	7.450	-2.196	29.986
0.058	-6.039	7.455	-2.192	30.001
0.068	-6.025	7.436	-2.225	30.018
0.078	-6.001	7.450	-2.230	30.012
0.088	-6.015	7.455	-2.201	30.004
0.098	-6.015	7.455	-2.177	29.998
0.108	-6.029	7.455	-2.172	30.004
0.118	-6.010	7.446	-2.220	29.998
0.128	-6.005	7.446	-2.235	30.006
0.138	-6.015	7.446	-2.244	29.998
0.149	-6.015	7.431	-2.244	30.001
0.158	-6.005	7.460	-2.201	30.004
0.168	-6.015	7.460	-2.163	30.004
0.178	-6.010	7.455	-2.158	30.009
0.188	-6.025	7.455	-2.187	30.006
0.198	-6.034	7.436	-2.239	30.009
0.209	-6.010	7.422	-2.254	30.006
0.219	-6.015	7.450	-2.192	30.004
0.229	-6.015	7.441	-2.172	30.004
0.239	-6.015	7.446	-2.153	29.998
0.249	-6.001	7.460	-2.201	29.986
0.259	-6.034	7.465	-2.182	29.986
0.269	-6.034	7.436	-2.230	29.998
0.279	-6.034	7.427	-2.230	30.009
0.289	-6.025	7.446	-2.220	29.998
0.299	-6.015	7.431	-2.168	30.001
0.309	-6.005	7.436	-2.206	30.006
0.319	-6.029	7.431	-2.192	29.998
0.329	-6.029	7.455	-2.187	30.009
0.340	-6.034	7.446	-2.206	30.004
0.350	-6.034	7.431	-2.225	29.998
0.360	-6.029	7.446	-2.249	30.004
0.370	-6.020	7.441	-2.220	29.995
0.380	-6.005	7.417	-2.220	29.998
0.390	-6.029	7.427	-2.177	30.004
0.400	-6.034	7.427	-2.177	30.001
0.410	-6.053	7.431	-2.211	30.009
0.420	-6.020	7.455	-2.239	30.006
0.430	-6.010	7.455	-2.220	29.995
0.440	-6.015	7.460	-2.201	29.995
0.450	-6.025	7.465	-2.168	30.004
0.460	-6.029	7.446	-2.187	29.998
0.469	-6.034	7.431	-2.196	30.004
0.479	-6.010	7.417	-2.206	30.001
0.489	-6.048	7.441	-2.206	30.006
0.499	-6.020	7.465	-2.187	30.004
0.510	-6.020	7.455	-2.182	30.004
0.520	-6.015	7.455	-2.187	30.004
0.529	-6.029	7.431	-2.196	30.006
0.540	-6.015	7.436	-2.187	30.015
0.550	-6.001	7.436	-2.201	30.009
0.560	-6.010	7.446	-2.216	30.015
0.570	-6.025	7.446	-2.196	30.012
0.580	-6.029	7.441	-2.211	30.012
0.591	-6.015	7.460	-2.196	30.012
0.600	-6.020	7.441	-2.220	30.006
0.610	-6.005	7.455	-2.211	30.006
0.621	-6.001	7.455	-2.192	30.012
0.630	-6.029	7.436	-2.182	30.021
0.640	-6.015	7.441	-2.192	30.012
0.652	-6.005	7.446	-2.206	29.998
0.660	-6.015	7.441	-2.216	29.998
0.671	-5.981	7.441	-2.216	30.006
0.680	-6.020	7.450	-2.220	30.015
0.690	-6.034	7.455	-2.187	30.006
0.700	-6.020	7.446	-2.172	30.012
0.710	-6.010	7.431	-2.196	30.006
0.720	-6.025	7.450	-2.211	30.001
0.730	-6.029	7.431	-2.239	30.009
0.740	-6.034	7.431	-2.230	30.009
0.750	-6.020	7.427	-2.163	30.012
0.760	-6.025	7.450	-2.168	30.006
0.770	-6.029	7.441	-2.168	30.004
0.780	-6.015	7.450	-2.201	30.021
0.791	-6.005	7.455	-2.235	30.033
0.801	-5.991	7.450	-2.259	30.015
0.811	-6.005	7.422	-2.216	30.012
0.821	-6.015	7.417	-2.172	30.009
0.831	-6.010	7.460	-2.187	30.004
0.841	-6.034	7.446	-2.177	30.009
0.851	-6.034	7.436	-2.172	30.001
0.861	-6.025	7.431	-2.182	30.001
0.871	-6.020	7.431	-2.196	30.012
0.881	-6.010	7.441	-2.206	30.001
0.891	-6.029	7.431	-2.201	30.001
0.901	-6.015	7.436	-2.201	29.998
0.911	-6.015	7.422	-2.196	30.004
0.921	-6.001	7.441	-2.216	29.998
0.931	-6.029	7.436	-2.201	30.006
0.942	-6.020	7.455	-2.206	30.009
0.951	-6.025	7.441	-2.211	30.012
0.961	-6.029	7.441	-2.216	30.009
0.971	-6.034	7.431	-2.239	30.004
0.982	-6.039	7.431	-2.249	29.992
0.992	-6.020	7.455	-2.216	29.992
1.002	-6.025	7.441	-2.201	29.998
1.012	-6.029	7.446	-2.187	29.998
1.022	-5.996	7.436	-2.177	30.015
1.032	-6.025	7.431	-2.216	30.015
1.042	-6.025	7.441	-2.201	30.018
1.052	-6.029	7.427	-2.187	30.006
