Time	Dx	Dy	Dz	Temperature
0.011	106.490	37.793	0.000	30.015
0.011	106.490	37.798	0.000	30.015
0.012	106.490	37.798	0.000	30.001
0.012	106.490	37.798	0.000	30.009
0.013	106.490	37.793	0.000	30.009
0.013	106.490	37.793	0.000	30.009
0.014	106.490	37.793	0.000	30.001
0.015	106.490	37.793	0.000	29.989
0.015	106.490	37.798	0.000	29.992
0.018	106.485	37.798	0.000	29.995
0.028	106.485	37.798	0.000	29.995
0.038	106.479	37.804	0.000	29.998
0.048	106.479	37.804	0.000	29.986
0.058	106.479	37.804	0.000	30.001
0.068	106.479	37.804	0.000	30.018
0.078	106.479	37.798	0.000	30.012
0.088	106.479	37.798	0.000	30.004
0.098	106.479	37.798	0.000	29.998
0.109	106.474	37.804	0.000	30.004
0.118	106.479	37.798	0.000	29.998
0.129	106.479	37.798	0.000	30.006
0.138	106.485	37.798	0.000	29.998
0.150	106.485	37.798	0.000	30.001
0.159	106.485	37.798	0.000	30.004
0.169	106.485	37.798	0.000	30.004
0.179	106.479	37.798	0.000	30.009
0.189	106.479	37.798	0.000	30.006
0.200	106.479	37.804	0.000	30.009
0.210	106.485	37.798	0.000	30.006
0.220	106.485	37.804	0.000	30.004
0.230	106.479	37.804	0.000	30.004
0.240	106.479	37.804	0.000	29.998
0.250	106.479	37.804	0.000	29.986
0.260	106.479	37.804	0.000	29.986
0.270	106.479	37.804	0.000	29.998
0.280	106.479	37.804	0.000	30.009
0.290	106.479	37.804	0.000	29.998
0.300	106.479	37.809	0.000	30.001
0.310	106.479	37.809	0.000	30.006
0.320	106.479	37.809	0.000	29.998
0.330	106.474	37.809	0.000	30.009
0.341	106.479	37.809	0.000	30.004
0.351	106.479	37.809	0.000	29.998
0.361	106.485	37.809	0.000	30.004
0.371	106.485	37.809	0.000	29.995
0.381	106.485	37.809	0.000	29.998
0.391	106.485	37.815	0.000	30.004
0.401	106.479	37.815	0.000	30.001
0.411	106.479	37.815	0.000	30.009
0.421	106.485	37.809	0.000	30.006
0.431	106.485	37.809	0.000	29.995
0.441	106.485	37.809	0.000	29.995
0.451	106.479	37.815	0.000	30.004
0.461	106.479	37.815	0.000	29.998
0.470	106.479	37.815	0.000	30.004
0.480	106.479	37.815	0.000	30.001
0.490	106.479	37.815	0.000	30.006
0.500	106.479	37.815	0.000	30.004
0.510	106.474	37.815	0.000	30.004
0.521	106.474	37.820	0.000	30.004
0.530	106.474	37.820	0.000	30.006
0.541	106.474	37.820	0.000	30.015
0.551	106.474	37.820	0.000	30.009
0.561	106.474	37.820	0.000	30.015
0.571	106.474	37.820	0.000	30.012
0.581	106.474	37.820	0.000	30.012
0.591	106.474	37.820	0.000	30.012
0.601	106.474	37.820	0.000	30.006
0.611	106.474	37.820	0.000	30.006
0.621	106.469	37.820	0.000	30.012
0.631	106.469	37.820	0.000	30.021
0.641	106.469	37.820	0.000	30.012
0.653	106.469	37.820	0.000	29.998
0.661	106.469	37.820	0.000	29.998
0.671	106.469	37.820	0.000	30.006
0.681	106.469	37.820	0.000	30.015
0.691	106.469	37.820	0.000	30.006
0.701	106.469	37.820	0.000	30.012
0.710	106.469	37.820	0.000	30.006
0.721	106.469	37.820	0.000	30.001
0.731	106.469	37.820	0.000	30.009
0.740	106.474	37.820	0.000	30.009
0.751	106.469	37.826	0.000	30.012
0.761	106.469	37.826	0.000	30.006
0.771	106.463	37.826	0.000	30.004
0.781	106.463	37.826	0.000	30.021
0.791	106.469	37.826	0.000	30.033
0.801	106.469	37.820	0.000	30.015
0.811	106.469	37.820	0.000	30.012
0.821	106.469	37.826	0.000	30.009
0.831	106.469	37.826	0.000	30.004
0.841	106.469	37.826	0.000	30.009
0.851	106.463	37.826	0.000	30.001
0.861	106.463	37.826	0.000	30.001
0.871	106.463	37.826	0.000	30.012
0.881	106.463	37.826	0.000	30.001
0.892	106.463	37.826	0.000	30.001
0.902	106.463	37.826	0.000	29.998
0.912	106.469	37.826	0.000	30.004
0.922	106.469	37.826	0.000	29.998
0.932	106.469	37.826	0.000	30.006
0.942	106.469	37.820	0.000	30.009
0.952	106.469	37.820	0.000	30.012
0.962	106.469	37.826	0.000	30.009
0.972	106.474	37.826	0.000	30.004
0.982	106.479	37.826	0.000	29.992
0.992	106.479	37.826	0.000	29.992
1.002	106.479	37.826	0.000	29.998
1.012	106.479	37.826	0.000	29.998
1.022	106.474	37.826	0.000	30.015
1.032	106.474	37.826	0.000	30.015
1.042	106.474	37.831	0.000	30.018
1.052	106.474	37.831	0.000	30.006
1.062	106.469	37.837	0.000	30.006
1.072	106.469	37.837	0.000	30.012
1.082	106.469	37.837	0.000	30.004
1.092	106.469	37.837	0.000	30.001
1.102	106.469	37.837	0.000	30.001
1.113	106.469	37.837	0.000	30.004
1.122	106.469	37.837	0.000	30.001
1.133	106.463	37.837	0.000	30.006
1.143	106.463	37.837	0.000	30.006
1.155	106.469	37.837	0.000	30.009
1.163	106.469	37.837	0.000	30.006
1.174	106.469	37.837	0.000	30.006
1.183	106.469	37.837	0.000	29.998
1.193	106.469	37.837	0.000	30.006
1.203	106.469	37.837	0.000	29.998
1.213	106.469	37.837	0.000	30.004
1.223	106.469	37.837	0.000	30.009
1.234	106.469	37.837	0.000	30.001
1.243	106.469	37.831	0.000	30.006
1.254	106.474	37.831	0.000	30.018
1.265	106.474	37.831	0.000	30.012
1.274	106.474	37.831	0.000	30.012
1.284	106.474	37.831	0.000	30.006
1.294	106.469	37.831	0.000	30.009
1.304	106.469	37.831	0.000	30.009
1.314	106.469	37.831	0.000	30.012
1.324	106.474	37.831	0.000	30.012
1.333	106.474	37.831	0.000	30.012
1.343	106.474	37.831	0.000	30.015
1.353	106.474	37.831	0.000	29.998
1.363	106.474	37.837	0.000	29.992
1.374	106.474	37.837	0.000	30.004
1.384	106.474	37.837	0.000	30.001
1.394	106.474	37.831	0.000	30.012
1.404	106.474	37.831	0.000	30.006
1.414	106.479	37.831	0.000	30.012
1.424	106.479	37.837	0.000	30.015
1.434	106.485	37.837	0.000	30.018
1.444	106.485	37.837	0.000	30.006
1.454	106.485	37.837	0.000	29.989
1.464	106.490	37.831	0.000	29.995
1.474	106.490	37.831	0.000	29.986
1.484	106.490	37.831	0.000	29.995
1.494	106.496	37.831	0.000	30.001
1.505	106.496	37.837	0.000	29.998
1.515	106.496	37.837	0.000	30.006
1.525	106.496	37.837	0.000	30.012
1.535	106.496	37.837	0.000	29.998
