Time	Wx	Wy	Wz	Temperature
0.011	0.000	-0.061	-0.061	30.015
0.012	-0.061	-0.061	0.000	30.001
0.012	0.000	0.000	0.000	30.009
0.013	0.000	0.061	0.061	30.009
0.013	0.000	0.061	0.061	30.009
0.014	0.061	0.061	0.061	30.001
0.015	0.000	0.000	0.000	29.989
0.015	-0.061	-0.061	-0.061	29.992
0.018	-0.061	-0.122	-0.122	29.995
0.028	0.000	-0.122	-0.183	29.995
0.038	0.061	-0.122	-0.122	29.998
0.048	0.000	0.000	0.000	29.986
0.058	0.000	0.000	0.061	30.001
0.068	0.000	-0.061	0.061	30.018
0.078	-0.061	-0.061	0.000	30.012
0.088	0.000	-0.061	-0.061	30.004
0.098	0.000	-0.061	-0.061	29.998
0.108	-0.061	0.061	0.000	30.004
0.118	0.000	0.061	0.000	29.998
0.129	0.000	0.122	0.000	30.006
0.138	0.000	0.061	0.000	29.998
0.149	0.000	0.000	0.000	30.001
0.159	0.000	-0.061	-0.061	30.004
0.169	0.000	-0.122	-0.061	30.004
0.179	0.000	-0.061	-0.122	30.009
0.188	0.000	0.000	-0.122	30.006
0.199	0.000	0.000	-0.061	30.009
0.209	0.000	0.000	0.000	30.006
0.220	0.000	-0.122	-0.122	30.004
0.230	0.000	-0.122	-0.122	30.004
0.239	0.000	0.000	-0.122	29.998
0.249	0.000	0.061	-0.061	29.986
0.259	0.061	0.061	0.000	29.986
0.270	0.000	0.061	0.000	29.998
0.280	0.000	-0.061	0.000	30.009
0.290	-0.061	-0.061	-0.061	29.998
0.300	-0.061	-0.122	-0.122	30.001
0.310	0.000	-0.122	-0.183	30.006
0.320	0.000	-0.061	-0.061	29.998
0.330	0.000	0.061	0.000	30.009
0.340	0.000	0.122	0.061	30.004
0.350	0.000	0.183	0.122	29.998
0.360	0.000	0.122	0.000	30.004
0.370	0.000	-0.061	-0.061	29.995
0.380	-0.061	-0.122	-0.061	29.998
0.390	0.000	-0.061	-0.061	30.004
0.400	-0.061	0.000	0.061	30.001
0.410	-0.061	0.061	0.183	30.009
0.420	0.000	0.061	0.122	30.006
0.430	0.000	-0.061	0.000	29.995
0.441	-0.061	-0.183	-0.122	29.995
0.450	-0.061	-0.183	-0.183	30.004
0.460	0.000	-0.061	-0.061	29.998
0.470	0.000	0.061	-0.061	30.004
0.480	0.000	0.061	0.000	30.001
0.490	0.000	0.061	0.000	30.006
0.500	0.000	-0.061	0.000	30.004
0.510	-0.061	-0.122	-0.122	30.004
0.521	-0.061	-0.061	-0.122	30.004
0.530	0.000	0.000	-0.061	30.006
0.541	0.000	0.061	-0.061	30.015
0.551	0.000	0.000	0.000	30.009
0.561	0.000	-0.061	0.000	30.015
0.571	0.000	0.000	0.000	30.012
0.581	0.000	-0.061	0.000	30.012
0.591	0.000	-0.061	0.000	30.012
0.601	0.000	-0.061	-0.061	30.006
0.611	0.000	-0.061	-0.122	30.006
0.621	-0.061	-0.061	-0.061	30.012
0.631	0.000	0.000	0.000	30.021
0.641	-0.061	0.000	0.000	30.012
0.652	-0.061	0.000	-0.061	29.998
0.661	0.000	-0.061	-0.122	29.998
0.671	0.000	-0.122	-0.122	30.006
0.681	0.000	-0.122	-0.122	30.015
0.691	0.000	-0.122	-0.122	30.006
0.701	0.000	-0.061	0.000	30.012
0.710	0.000	0.000	0.000	30.006
0.720	0.000	0.000	-0.061	30.001
0.731	0.000	0.000	0.000	30.009
0.740	0.000	0.000	0.000	30.009
0.751	-0.061	0.000	-0.061	30.012
0.761	0.000	-0.122	-0.061	30.006
0.771	0.000	-0.061	-0.061	30.004
0.781	0.000	0.000	0.000	30.021
0.791	0.000	0.061	0.000	30.033
0.801	-0.061	0.000	0.000	30.015
0.811	0.000	-0.061	-0.061	30.012
0.821	0.000	-0.122	-0.122	30.009
0.831	0.000	-0.061	-0.122	30.004
0.841	0.061	0.000	0.000	30.009
0.851	0.000	0.000	0.000	30.001
0.861	-0.061	0.061	0.000	30.001
0.871	0.000	0.000	0.000	30.012
0.881	0.000	0.061	0.000	30.001
0.891	0.000	0.000	0.000	30.001
0.902	0.061	0.000	0.000	29.998
0.912	0.061	0.122	0.000	30.004
0.922	0.000	0.061	0.061	29.998
0.932	-0.061	0.061	0.061	30.006
0.942	0.000	0.061	0.061	30.009
0.952	0.000	0.000	0.000	30.012
0.962	0.061	0.000	-0.061	30.009
0.972	0.061	0.000	-0.061	30.004
0.982	0.000	0.000	-0.061	29.992
0.992	0.000	0.000	0.000	29.992
1.002	0.000	0.000	0.000	29.998
1.012	0.000	-0.061	-0.061	29.998
1.022	-0.061	-0.122	-0.122	30.015
1.032	0.000	-0.122	-0.122	30.015
1.042	0.000	-0.183	-0.183	30.018
1.052	0.000	-0.183	-0.183	30.006
1.062	0.000	-0.122	-0.122	30.006
1.072	0.000	-0.061	0.000	30.012
1.082	0.000	0.000	0.000	30.004
1.092	0.000	0.000	0.000	30.001
1.102	0.122	-0.061	-0.061	30.001
1.112	0.000	-0.122	-0.061	30.004
1.122	0.000	-0.061	-0.122	30.001
1.133	0.000	-0.061	0.000	30.006
1.143	0.061	0.000	0.061	30.006
1.154	0.061	0.000	0.061	30.009
